id,text,name,rate,,
1387369897009700000,"** https://t.co/p0LuYPHqFv ** Malaysia drops AstraZeneca from Covid-19 immunisation plan, offers it on voluntary basis https://t.co/hFGWZbAJmx",Daniella,neutral,,
1387369888520440000,Covid didnâ€™t take me out but this second dose of Moderna just might https://t.co/R8fYIJrb9A,Daniella,negative,,
1387369888432460000,@US_FDA When will you be responding to Pfizer's request to expand vaccine eligibility 12 - 15 year olds? Thank you!,Daniella,neutral,,
1387369887773880000,"I don't know what's in the Moderna vaccine, but for the second time I literally cannot stop eating after getting the jab. I have affectionately referred to it as, ""The Moderna Munchies."" But the struggle is real. #GiveMeALLthebreakfastitems ðŸ¥“ðŸ³â˜•ï¸ðŸ¥¯ðŸ¥žðŸ§‡",Daniella,negative,,
1387369881801150000,Pfizer is lobbying through Indian influencers. https://t.co/hp4JOFpCFR,Daniella,neutral,,
1387369877011320000,Tag 1 nach der Coronaimpfung mit BioNTech. Alles juti! Still very happy to help end this shit. #impfpropaganda #nocovid #zerocovid #harterlockdownsofort,Daniella,positive,,
1387369867276280000,"@RoKhanna @pfizer @moderna_tx If you cared you wouldn't be knocking on their door like a polite Jehovah's Witness.

Politician with actual power.",Daniella,negative,,
1387369863069390000,Imagine getting the AstraZeneca Covid Jab and not telling everyone.,Daniella,neutral,,
1387369858917040000,I love how practically no high profile conspiracy theorist actually said the covid vaccine feminizes you but we all agreed that's the joke we're going with,Daniella,negative,,
1387369855163240000,"""Members are scared because weâ€™re in a huge plant, weâ€™re all sharing the same roof, the vaccine is not available for my members, and we need to get help with thisâ€ #FordMustResign
Canada Post shift in Peel Region ordered shut down during COVID-19 outbreak https://t.co/tUlfIDWvbo",Daniella,neutral,,
1387369852705320000,"I'm ashamed to say I live with my partner of 26 years , who is a covid denier,  anti vaccer,  personally who thinks I'm a sheep for getting the vaccine This is not going to end well ......",Daniella,neutral,,
1387369851845450000,"@MoHFW_INDIA @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @COVIDNewsByMIB @mygovindia @CovidIndiaSeva *Co-WIN Platform Crashes As COVID Vaccine Registrations for All Adults Goes Live; Errors in Aarogya Setu* 

.
.
.
.
.
https://t.co/SorfWUhj9S

OR

https://t.co/s1skVOTngY",Daniella,neutral,,
1387369836758450000,"@MUDITA14 A young woman I know was put on vaccine duty in a big private hospital without being offered a shot first. She is a student nurse. She got covid as did her mother. Fortunately, symptoms were mild and both have recovered. But it made me so furious.",Daniella,negative,,
1387369832807600000,"@troutslayer67 Just remember, you will then be fully vaccinated. My 2nd Moderna gave me the chills &amp; slight fever, but through it all, I KEPT SMILING BECAUSE I KNEW IT WOULDN'T LAST, &amp; wouldn't be put on a ventilator or die...",Daniella,positive,,
1387369830232180000,@s1d_1611 Covid vaccine registration ka,Daniella,neutral,,
1387369824381140000,"@MukulAgarwal66 @unraveaero @chetan_bhagat Pfizer would have provided their reasons for not accepting Indian bridging trail. Is Pfizer available in UAE, Gulf ? Indians who have taken Pfizer in USA, do you have any study which says they are suffering or dying after vaccination ? In fact they are now moving around w/o masks",Daniella,neutral,,
1387369823307500000,"US senators call on Biden to back COVID vaccine patent waiver
 https://t.co/N6vPaJUgRE via @AJEnglish",Daniella,neutral,,
1387369822783160000,Publix will offer Johnson &amp; Johnson COVID-19 vaccine again https://t.co/CKeqxDK1fD https://t.co/Fz8AxvJYMm,Daniella,neutral,,
1387369820602170000,"Plaid Cymruâ€™s Liz Saville Roberts asks: â€œWhat happens when a prime minister goes rogue?â€

The PM says the people of the UK have the chance to make their own minds up at next weekâ€™s local elections

Follow more from #PMQs here ðŸ‘‡ 

https://t.co/cS64RzqcIO",Daniella,irrelevant,,
1387369818211420000,Moderna has big plans for its mRNA technology https://t.co/oC0HxUo5yg,Daniella,neutral,,
1387369816621600000,"Egypt has started its vaccination drive with doses of AstraZeneca's COVID-19 vaccine under global COVAX agreement to provide vaccines for lower-income countries
https://t.co/5XJFSw2K1H
#Egypt #COVID19Vaccine #vaccination #COVAX https://t.co/yjF21KB1h3",Daniella,neutral,,
1387369816248480000,That second Moderna hits hard. ðŸ˜°,Daniella,negative,,
1387369815883530000,"Arthur and the Minimoys https://t.co/tx95ApjVrM via @YouTube 

Zosano Pharma (ZSAN) 
Covid Vaccine MicroNeedle Patch  
Migraine NDA Qtrypta  
 
Abc:Fox:Oan:Cnn:Cbs:Nbc:Bbc:Msnbc:Whtm:Cnbc:Ma:Nv:Can:Co:Pbs:Wtnh:Gop:Dc:Ny:Aoc:Oh:Gbr:Wa:Aus:Ita:Ca:Dems:Pelosi:Disney:Mi:Hulu:Nzl:Pol:",Daniella,neutral,,
1387369815648570000,BioNTech chief: Europe will reach herd immunity by August https://t.co/WoklbHAIkd,Daniella,neutral,,
1387369814943940000,"Okoh informed the participants that the lukewarm attitude by some people to the COVID-19 vaccine is based on myth and hearsay, stressing that the more people are vaccinated, the earlier we would eradicate COVID-19 and other diseases from our midst.
@jidesanwoolu @LSMOH 
#LASG",Daniella,neutral,,
1387369800318420000,"Completion of my COVID 19 Vaccination through taking 2nd dose of Â Oxford-AstraZeneca CoviShield jab.ðŸ˜¬
Last year I suffered from COVID 19 &amp; now on this year I get vaccinated against COVID 19.âœŒï¸ https://t.co/Rhdah1OSZ7",Daniella,neutral,,
1387369796828860000,"An important thread showing that the #SputnikV compound (I won't call it vaccine), is heavily involved in propaganda and lies.

Furthermore, Sputnik has been refused by Brazil and Slovakia for a range of irregularities.  #covid https://t.co/lfEahPW74o",Daniella,neutral,,
1387369794438040000,"@FootballMuseum @ManCity @SportsMemNet When I ""were nobbut a lad"", this tournament used to throw up some bizarre winners. Swindon Town, 1968? I think the Villa won it in the mid-70s, when they were a middling team, and of course, Oxford United, which gave us the ""joy"" of seeing Robert Murdochs' ""celebration"". ðŸ¤¦â€â™‚ï¸",Daniella,irrelevant,,
1387369790906540000,@good_jarvis4 @Peatches66 @Robthefrosty @AmlongJudyann @DavidUSASutton @SimonJester007 @HLStockenstrom @BluePati @StopTheShitnado @DeletedSharon @rzoecpkhy @amberstone33 @DerekGuberney @OssiFritsche @dprobbob @AmyJenson95 So happy you got Pfizer instead of the astra Zeneca one â¤ï¸â¤ï¸â¤ï¸,Daniella,positive,,
1387369784552030000,"Francis Collins urges evangelicals: â€˜Love your neighbor,â€™ get COVID-19 vaccine 
https://t.co/py6ZyLN3BS https://t.co/4Mg5MfuQwj",Daniella,positive,,
1387369784224800000,"Here's  Dr Mahshid Nickkho-Amiry, an Obstetrician &amp; Gynecologist at the Trust talking about the COVID-19 vaccine.

She states that there is no evidence to show that the vaccine has any link to infertility and that it is the best way to protect yourself. 

â¬‡ï¸â¬‡ï¸â¬‡ï¸â¬‡ï¸ https://t.co/u6RLryoxQR",Daniella,neutral,,
1387369782119330000,@magikald @MickieThePoet @sailorrooscout Covid: One dose of vaccine halves transmission - study https://t.co/O78n845DQ9,Daniella,neutral,,
1387369778885500000,"If the vaccine only prevents you from getting a severe case of COVID, and you already had COVID, and you still have antibodies in your system... why should you have to get the vaccine?",Daniella,neutral,,
1387369778092770000,"@Back0RBench Sahi h. Dekhte hain fir. Will try for gov only. Covshield is good, covax is  the best option so far.",Daniella,positive,,
1387369777530900000,Joe Rogan Claims Young and Healthy People Shouldnâ€™t Get COVID Vaccine https://t.co/YJ2qCKrzAe https://t.co/oXX2E8BR92,Daniella,neutral,,
1387369777501450000,"@Neo_Mitchel Pele o 
Oxford dictionary.
Who English Epp ðŸ˜‚",Daniella,irrelevant,,
1387369766592170000,"Xavier Becerra, the secretary of health and human services, said on â€œCBS This Morningâ€ on Tuesday, â€œThe message is clear: Youâ€™re vaccinated? Guess what, you get to return to a more normal lifestyle.â€ https://t.co/sBXBd9yB8A",Daniella,neutral,,
1387369765002380000,@chetan_bhagat Join politics if you want to talk non sense.India can afford stupid politician but https://t.co/Ar16smnhpv vaccine is not feasible for India due to lack of cold chain facilities plus it was not tested as well.,Daniella,negative,,
1387369754810190000,"A single dose of either the Oxford/AstraZeneca or Pfizer/BioNTech vaccines have been found to cut COVID-19 transmission rates by up to half, according to a new Public Health England (PHE) study
 
https://t.co/BXTAP33gUU",Daniella,neutral,,
1387369754726470000,"The #COVID19 #vaccine registration has been opened to people over 18 years today.

Make sure you follow the steps below so that you can successfully register: https://t.co/Sd7m9jmnUs

#CoWin #CowinApp #CowinPortal #Cowinregistration",Daniella,neutral,,
1387369754273490000,What's your status with a COVID vaccine?,Daniella,neutral,,
1387369751442120000,"Ohioâ€™s Amish Suffered a Lot From Covid, but Vaccines Are Still a Hard Sell | Kaiser Health News - maybe some of the vaccine deniers should apply there https://t.co/ZMIG8eVr4l",Daniella,neutral,,
1387369745083760000,@FamPhysCan Getting my first COVID vaccine dose- Please: Get vaccinated when you become eligible; The best vaccine is the one you can get; https://t.co/8s7qlbf96p,Daniella,positive,,
1387369744081110000,"I just can't with some ppl. The vaccine does not make you immune to Covid, it'll only prevent you from getting sick. In other words, you can still transmit the virus and possibly get someone else sick. So please, only go outside if necessary and wear that goddamn mask.",Daniella,neutral,,
1387369740998350000,"@Rashmidvs You're the casteist and racist bigot who was kicked out off Oxford elections? Have you any shame of the disrepute you bring to India? You went to learn this only at Oxford?

They did right barring you from contesting. You just proved their point. Casteist and racist.",Daniella,irrelevant,,
1387369739970760000,"@Arogyasetu I am  not able to registrate  the covid-19 vaccine in the @arogya aap 
What an issue with this ...? https://t.co/kyIqvpYITO",Daniella,neutral,,
1387369738175750000,"@alexkatzmusic @themysticgoat @thomaschattwill That vaccine was developed differently, and the survival rate wasnâ€™t over 99%. Besides, your still able to get covid from mutation strains so whatâ€™s the point... you still arenâ€™t protected. We also have no long term data on the covid vaccine.",Daniella,negative,,
1387369737542270000,@I_lv_uh @nethrapal @ami_teotia @blsanthosh But few days back sashi tharoor ji posted that his sister got two shots of pfizer but still got infected.,Daniella,neutral,,
1387369734841140000,"Emcee N.I.C.E. of GH3Radio 20/20 Summer Fest announces new dates &amp; concert lineup! CHH versus a thing? Did someone say Christianâ€œTattooâ€? ;-) Spotify launches new podcast subscription platform, Crocs sales surge, New Pfizer pill? Buckle Up!Â 

Show link: https://t.co/vRU4aS3LJG https://t.co/9DKApSqWGR",Daniella,neutral,,
1387369732639170000,$MRNA / Moderna files form 8-K - Other Events -  8-K https://t.co/OqXiuPcfRt,Daniella,neutral,,
1387369729443170000,"For those of you keeping score at home, I find these anecdata sampled points interesting; you may not. Had my second Pfizer shot yesterday. Within 45 minutes, felt â€œfoggyâ€ &amp; slow. Arm was a tad sore. Then the bus hit me. Slept for 8 hours. Today woke up feeling worse. #worthit",Daniella,neutral,,
1387369729250180000,@catherinerusse2 @vickie_lewis83 @460264 I'm getting my second shot today. As I'm in the US (please don't hold it against me haha) I got the Moderna. Both one in my family has had a bad reaction to the second shot so here's to hoping I'm  just achy tomorrow!! 10 times better than getting Covid,Daniella,neutral,,
1387369727618690000,"@StellaMoris1 Just ask his doctor, who knows his clinical picture, if he approves of AstraZeneca.",Daniella,neutral,,
1387369727014570000,Okay...now I'm freaking out. Had my  first AstraZeneca jab a couple weeks ago (feeling fine) but now I'm worried. What the hell do we do? I want to be protected but threads like this are scary and there's a lot of people having a bad time. ðŸ˜Ÿ https://t.co/aB2g8C5DRX,Daniella,neutral,,
1387369725336980000,"I'm at COVID-19 Vaccine Center in Jeddah, Makkah https://t.co/pdLXvnT0TJ",Daniella,neutral,,
1387369722384050000,"Great article by @PeterHotez:
""Nearly 1 billion COVID-19 vaccine doses have been delivered in less than six months, but anti-vaccine disinformation and targeted attacks on scientists are undermining progress. These threats must be confronted directly"" 
https://t.co/vMGWvrFoHd",Daniella,negative,,
1387369721230540000,Oxford expected to lead the nationâ€™s post-Covid-19 recovery in 2021 https://t.co/1rfkhuPOJt,Daniella,neutral,,
1387369721222380000,Hoe kom je in 19 stappen tot een #mRNA #vaccin? - â€œHow Pfizer Makes Its Covid-19 Vaccineâ€ door The  New York Times  https://t.co/iysGZt6Zzn,Daniella,neutral,,
1387369718177160000,"second vaccine (moderna) is hitting me fucking hard and Iâ€™m hating this. Chills and fever, what a fuckin combo. Canâ€™t sleep..",Daniella,negative,,
1387369716893720000,"Learning from India's vaccine strategy: Self-reliance (Aatmnirbharta) is achievable only through self-sufficiency. It demands intentional hard work and not hollow jargon-ism.
It is criminal to deprioritize public health over any form of marketing gimmick.
https://t.co/BsDAvpMySN",Daniella,neutral,,
1387369711734700000,"@kingshuk_2458 I guess its blessings in disguise....a lady 45 years age known to my family died 7 days after taking the 1st dose of vaccine....I seriously feel vaccines are not safe...many more deaths due vaccines are not even reported in india
https://t.co/lN6eiRxG8y",Daniella,neutral,,
1387369702809340000,COVID-19: Single dose of coronavirus vaccine 'can cut transmission by up to half' - and most common side 100% SAFE THEY SAID!!! effects revealed https://t.co/BYsG4pfYlN via @Yahoo,Daniella,negative,,
1387369700280110000,Oxford jab 'could be banned for under-40s after blood clot reports double' | Metro News https://t.co/g35tf0GP7o,Daniella,irrelevant,,
1387369693552450000,"â€˜Get your COVID-19 vaccine now! You will save your life and that of your loved ones. I got mine in December and Iâ€™m still standing! It is very safeâ€™

Oumie Andrews
Clinical Laboratory Scientist
CLS (ASCP) MHA

#Vaccineswork
#UNICEF
#UNICEFGambia
#UNICEFAfrica https://t.co/4a7OK48Zhu",Daniella,positive,,
1387369692843630000,"@cherrysberries Woop, welcome to club BioNTech! (I really should drop the habit of calling it Pfizer, too.)",Daniella,positive,,
1387369692382190000,"Europe will reach herd immunity by August, third vaccine shot will likely be required: BioNTech chief https://t.co/erpvSWn8xb",Daniella,neutral,,
1387369691824400000,Who is ready for the covid Vaccine we goo.... I mean those that expect travelling ðŸ˜’ðŸ˜’,Daniella,positive,,
1387369690113110000,"MO: Vaccine appointments available at Walgreens - Grandview from Apr 30 to May 3. Sign up here, zip code 64030:
https://t.co/A3d2yen3Gj (as of 6:31)",Daniella,neutral,,
1387369685545530000,"@aprilandez reject moderna, return to monke",Daniella,neutral,,
1387369683217610000,"Rajasthan Chief Minister Ashok Gehlot had on Sunday announced the state government will provide free Covid-19 vaccine to people above 18 years of age

#Rajasthan #India #CovidVaccine #VaccinationDrive 

https://t.co/Q44rni7VeJ",Daniella,neutral,,
1387369678591460000,@KristiCCoulter @Jenmatch @meenaharris I am exposed as I go to work as a healthcare worker and use public transport. Plus in the Pfizer and Moderna trials they just let people do what they wanted and measured infections in the 2 groups. Nobody knows exactly what the groups were doing.,Daniella,neutral,,
1387369669338740000,"Statement: Pfizer position is clearly against a 4 month dosing interval. Why is it that in a modern democracy country like Canada, the main stream  media is not covering this?   
#cdnpoli #Trudeaumustgo #trudeauvaccinefail #trudeauvaccinefailure  https://t.co/4UwA7SM5fw",Daniella,neutral,,
1387369669128900000,"This is about the South African variant which can break through the Pfizer vaccine.

What if new variants come?
Is innate immunity better than vaccine induced specific immunity?

#vaccination

https://t.co/L85l3XHWnY",Daniella,neutral,,
1387369666528510000,"Why donâ€™t you #SharetTheFormula ?
#Pfizer #sinovac #astrazeneca @Ufukozturkpeker",Daniella,neutral,,
1387369666054480000,Is anyone able to register and get the appointment scheduled for COVID vaccine for 18-45 age group?  #COVID19Vaccine,Daniella,neutral,,
1387369665031280000,BioNTech chief: Europe will reach herd immunity by August https://t.co/nHHbm0QUe6,Daniella,neutral,,
1387369659603700000,@vanOnselenP Not really. Some people can get Pfizer and others have to get AZ. Some are more equal than others,Daniella,neutral,,
1387369657280120000,Houston Safety Net Hospitals Will Await FDA Approval Before Requiring COVID Vaccinations â€“ Houston Public Media https://t.co/sv3xhrJ5SW,Daniella,neutral,,
1387369656860790000,@amysteadmann I had flu-like symptoms and a migraine after the second Pfizer jab. Lasted 24hrs,Daniella,neutral,,
1387369650346880000,"@JeromeAdamsMD Yes, Sir!  Physicians have a steady â€˜streamâ€™ of Patients in-clinic every day.  Every one of those Patients offers an opportunity to discuss whether the Patient has had the vaccine yet, questions they may have, and the vaccine efficacy &amp; safety data vs the risks of COVID-19.",Daniella,neutral,,
1387369640033230000,"@TheGifKing @downeast72 @joerogan More harm? Look at the stats! You have greater chance of being hit by lightening than suffering blood clot from AZ vaccine!
My neighbor, a pediatric ER Dr, is treating long term health effects from Covid along side the very sick children she sees every night!
You are the muppet!",Daniella,negative,,
1387369636623260000,"@OutspokenSphere 2013 Starmer issued guidelines on child sex abuse to make prosecutions more likelyÂ 

Grooming gang trials

2013 Oxford 7 jailed
2014 Bristol, 13
2015 Aylesbury, 6
2015 Peterborough, 4
2017 Newcastle, 18
2018 Huddersfield, over 30
2019 Oxford, 3
2019 Bradford, 9
2020 Sheffield, 5",Daniella,irrelevant,,
1387369636249880000,"Happening today, Wednesday, 4/28! Covid Vaccine Walk In Clinic for everyone 16 and older at the Portland Expo 9am-3pm!
@PORTLANDPUBLIC @DeeringProud https://t.co/XVKP8XlBv3",Daniella,neutral,,
1387369632500270000,"The Minister for Health,toured the ongoing COVID-19 vaccination process at Kiswa Health Center IV. She appreciated the health workers for a good job done and reiterated that the vaccine is safe and effective. #WhyUGDecidedM7 https://t.co/UHSrsYocG3",Daniella,neutral,,
1387369624967120000,"I guess government is not using Jabatan Penerangan Malaysia Data since it's only subject to 1,500 NUJ Name List which mostly for Radio, Television, Journalists and Photographers in Newspaper, Magazine or News Agency. How about Non NUJ Member? @Khairykj 

https://t.co/VVP7Z6VtGO",Daniella,irrelevant,,
1387369622085660000,@ellhard @Spectre255 @MarkMcGowanMP You cannot. The mRNA encodes the spike protein only. No other protein needed to make a virus (no envolope protein). Pfizer or AZ vax cannot make SAR-CoV-2 viruses at all!,Daniella,neutral,,
1387369619405600000,US considering intellectual property waiver for COVID vaccines https://t.co/4mGezUoNph via @AJEnglish,Daniella,neutral,,
1387369618981980000,Above 18 Users Report Server Error In Covid VaccineÂ Signup https://t.co/aNMTOQduSR,Daniella,neutral,,
1387369616322670000,"Covid live: CoWin, Aarogya Setu crash as vaccine registration opens for 18+
CoWin portal crashes as vaccine registrations begin for 18+ https://t.co/LVRXMIdfp3",Daniella,neutral,,
1387369605044350000,"This year's #kyotoprizeox will take place online on Tuesday 11 May. 
We're looking forward to celebrating current @KyotoPrize Laureates - chemist Ching Tang, astrophysicist James Gunn, and stage director Ariane Mnouchkine. 
Register to join online âž¡ï¸ https://t.co/nJb51zHr1u",Daniella,irrelevant,,
1387369600531180000,"1/2

#ZACHMultimediaSalutes

""Suspense over who anonymous beedi worker from Kannur who had given his life savings of Rs 2 lakh (US$2,688.47) to CMDRF as part of â€œVaccine Challengeâ€ leaving just Rs 850 (US$11.43) in his bank account has ended.

https://t.co/qQXeQcgJMK",Daniella,neutral,,
1387369598027190000,@Asher_Wolf I'm heading out for my Covid vaccine (1st dose) in about 15 minutes.,Daniella,neutral,,
1387369595175140000,"@AlexMahadevan Rogan: Thatâ€™s crazy, man. Do you want to hear why Iâ€™d tell a 21 year old not to get the COVID vaccine?",Daniella,negative,,
1387369595099510000,@UtahJamz @BleedBlueJeremy @USUtheRightBlue This is what I did before my first Pfizer on Friday. Drank lots of water before and after and took Aleve for the pain. The next day i was fine besides a pain in the arm and some real drowsiness.,Daniella,neutral,,
1387369590003420000,forgiving the unpreparedness by d central Govt to tackle this second covid  tsunami atleast this should hav been anticipated by them. Their IT cells r busy shutting tweets by ppl that r speaking against them on social media!! #CoronavirusPandemic #CovidIndia #bjp #vaccine #CoWin https://t.co/DrhJSByYLx,Daniella,neutral,,
1387369586203400000,just booked my second covid vaccine lets gooo https://t.co/q0ZkPU3ZGw,Daniella,positive,,
1387369581203790000,"Why Pfizer vaccine wasn't approved in India?

1. Pfizer wanted India to sign a clause exempting it from any side effect-related issue .
 
2. They were not ready for a mandatory bridge trial. 

3. Storage temperature is unmanageable. 

4. Cost was 3 timeâ€™s higher. 
@chetan_bhagat https://t.co/w7mryQptKA",Daniella,neutral,,
1387369578418820000,"The vaccine ambulance is back this weekend from 10.30-2.30 at the following locations:

ðŸš‘ Friday 30 April - St Peterâ€™s Church, York Place
ðŸš‘ Saturday 1 May - St Peterâ€™s Church, York Place
ðŸš‘ Sunday 2 May - Waitrose Car Park, 130-134 Western Road

https://t.co/djMsamwKp2 #MyJab https://t.co/kA7PnqAPp1",Daniella,neutral,,
1387369576246110000,"Stop peddling lies..#Pfizer Vaccine would cost $60,akin to Rs 4500

There's hue&amp;cry by motivated @narendramodi naysayers,to pay even Rs 400 or 600!Putting cost aspect aside,even otherwise,why did Pfizer refuse to do a bridge study?It has done so in other countries!

#COVIDIOTS ðŸ‘‡ https://t.co/rVkaB4sDb5",Daniella,negative,,
1387369564816690000,CDC Punishes Scientist For Dissenting Views About COVID Vaccines https://t.co/kFYz0eEssK,Daniella,neutral,,
1387369552363880000,"A single dose of a COVID vaccine can reduce transmission within a household by up to half, a study by Public Health England has found. https://t.co/PZkLXH2vYD",Daniella,neutral,,
1387369550702800000,"Pfizer CEO Albert Bourla told CNBC on Tuesday that an oral antiviral pill that can be taken in the comfort of one's home is in the works and could be made available to the public by the end of this year. 
#COVID19 #vaccine https://t.co/3j3AEcCnxv",Daniella,irrelevant,,
1387369544310730000,REPORT: Pfizer Vaccine Confirmed To Cause Neurodegenerative Diseases â€“ Study via @nationalfile https://t.co/wpfXpYyGjc,Daniella,neutral,,
1387369541030730000,"New Form 8-K [Press/News Current Report] entry filed by  $MRNA #Moderna, Inc  https://t.co/DudjjljXAT",Daniella,irrelevant,,
1387369539378100000,@BrianHartPR IÂ´ve been told Paracetamol but didnÂ´t need it (Pfizer),Daniella,neutral,,
1387369539374130000,"@LuckieKathy I did, last fall, havent had a cold since, had pfizer1, no sideeffect, pfizer 2 in about a week. Do the shot",Daniella,positive,,
1387369536479840000,"@chetan_bhagat Also...would like to know who all can afford the pfizer shot...and not Covaxin, CoviShield...",Daniella,neutral,,
1387369534986800000,Prince Harry and Meghan Markle to join Biden for COVID-19 vaccine concert https://t.co/W3MkIVpx32,Daniella,neutral,,
1387369534718360000,"ðŸ‘€ Philadelphians in need of a Covid vaccine are urged to stop by the Convention Center this week. The mass vaccination site has 4,000 extra doses that need to be used by Thursday.
#https://6abc.com/health/philly-vaccine-4000-doses-set-to-expire-at-pa-convention-center/10553750/",Daniella,neutral,,
1387369527948750000,Canada has now administered at least one dose of the COVID-19 vaccine to 36.5 per cent of the country's eligible population.   https://t.co/aBafDd0nNO,Daniella,neutral,,
1387369527827000000,NHS app will be used as Covid â€˜vaccine passportâ€™ for foreign travel https://t.co/yDHEesF5W6,Daniella,neutral,,
1387369525713250000,Officially 2 weeks out from getting my 2nd Pfizer shot on 4/14 and Iâ€™m ready to emerge from hibernation...still gonna mask up though. https://t.co/44wMKWmVWI,Daniella,neutral,,
1387369524622550000,@costco_member the covid vaccine has finally shown its real effects,Daniella,neutral,,
1387369516888370000,"@HoustonHank2 @pavancharvaka @nitinsukhlecha @PoppyHarlowCNN @RoKhanna @pfizer Your source is a talk show host, the response is a talk show host. Seems appropriate",Daniella,irrelevant,,
1387369510710090000,"@hilalta @sonalika_kumar @RahulGandhi No we won't take Pfizer vaccine without proper trials.

Indian vaccines are just fine. https://t.co/T1zmhb9yVn",Daniella,neutral,,
1387369507790800000,@BabaBholenath9 @chetan_bhagat He is just doing paid PR for Pfizer. Donâ€™t expect any answers from him.,Daniella,neutral,,
1387369504020250000,"Man, 55, dies in Tamworth Hospital eight days after receiving COVID-19 ' vaccine | https://t.co/2T2gnaLf1l https://t.co/VeVdbqNgjW",Daniella,neutral,,
1387369503055560000,"Myth: Vaccines should not be given to patients with blood pressure issues, diabetes, HIV, kidney problems, or cancer survivors

https://t.co/WeJ9V1ckPt",Daniella,neutral,,
